schedule_id,task_id,assigned_to,start_time,end_time,is_auto
sched_4dffa4bb,task_0001,41afd334-ad10-48b3-8ba9-2c8b81b2c92f,2024-11-17T07:13:31,2024-11-17T11:09:32.361878,True
sched_3a853293,task_0002,7f293d2b-8874-46b9-838c-8531732ef0d6,2024-06-01T01:15:18,2024-06-01T05:10:56.854320,True
sched_912cfbfa,task_0003,208e89df-4ede-4bad-82d3-5987b4112fa3,2024-10-22T22:30:54,2024-10-23T00:27:51.825036,False
sched_d6d1bdf1,task_0004,ca559213-b39d-4fc0-aefa-548e24cbad22,2024-12-02T06:57:29,2024-12-02T08:12:23.388275,True
sched_0a28d403,task_0005,310bc2db-843c-42ce-9961-70a493889cc8,2025-01-26T19:26:53,2025-01-26T22:38:41.280271,False
sched_e430562b,task_0006,271dd21e-0742-4856-b178-bcdeec6b12d7,2025-02-25T17:06:45,2025-02-25T20:55:11.735207,True
sched_04160218,task_0007,271bf8c6-3e9c-46a8-84ae-efad691f496c,2025-06-16T16:50:03,2025-06-16T18:05:45.204345,False
sched_71e412ad,task_0008,196dc879-b3bd-424c-907a-93a60e0f9633,2024-09-16T21:27:01,2024-09-16T23:40:20.238373,False
sched_6a32b1ba,task_0009,1a68003b-ef0c-45fa-bac5-dfcad779e63d,2024-08-25T14:35:02,2024-08-25T17:59:40.256266,False
sched_db6bc420,task_0010,3e4eab52-5a1a-4a51-9315-206f3ea4ad33,2024-11-13T17:59:55,2024-11-13T20:32:48.088288,False
sched_8a0b3719,task_0011,2696d2ee-6d67-4b6e-a881-bcd04655d292,2024-10-18T14:11:49,2024-10-18T16:21:38.300672,True
sched_7a432acf,task_0012,2a547cde-4c23-48f9-80ba-70739f08687a,2025-04-21T01:05:40,2025-04-21T04:49:25.469870,False
sched_ae32b977,task_0013,47dec98c-c663-4589-adc2-924290164982,2024-05-18T08:24:10,2024-05-18T11:28:35.500288,False
sched_c1f26a4d,task_0014,e4a1b30d-977d-4900-918b-7976f6efcaaf,2024-11-29T23:10:57,2024-11-30T00:19:11.503783,False
sched_2615b1f6,task_0015,5cb4fcf7-3450-4ce2-9112-902ef278eddd,2024-06-07T16:09:15,2024-06-07T17:12:15.128536,True
sched_99476b73,task_0016,23b90238-7392-404b-bcb2-97c0a8429b51,2024-11-28T09:05:54,2024-11-28T11:33:56.386269,True
sched_ce86757b,task_0017,95accbc9-a78f-4744-820a-557c9f5e0dca,2024-08-27T09:19:36,2024-08-27T12:56:21.344886,True
sched_99ea9810,task_0018,2ec7ffb9-5e99-4e26-96a9-0a80423442be,2024-12-31T13:21:49,2024-12-31T16:01:00.658707,True
sched_5c638451,task_0019,f4bfa4b5-b918-49d4-be6d-f28357628f91,2024-08-02T12:59:17,2024-08-02T14:31:20.139665,False
sched_072a1c3a,task_0020,0db430d6-b8b8-4ebe-8f52-132b1c17b5e3,2025-03-03T07:51:20,2025-03-03T11:35:08.619788,False
sched_12c81a05,task_0021,ecf07a72-dec6-4134-8ee8-9e289d2f5f7f,2025-06-13T03:58:20,2025-06-13T06:31:29.067311,True
sched_7475b454,task_0022,e0b15063-c124-4361-9829-a7e14b90a373,2025-04-29T09:21:25,2025-04-29T12:06:13.535328,True
sched_70384036,task_0023,c718e047-9ab0-4e23-95b8-b0be09a21e0c,2024-09-30T12:24:53,2024-09-30T15:12:42.678909,True
sched_78323d06,task_0024,77fd5b0b-2a8b-4543-a3da-489a26638275,2024-11-06T23:44:56,2024-11-07T01:05:07.932466,True
sched_9defb558,task_0025,84c941fe-ef09-45cc-9459-c9a189660447,2024-09-28T00:06:58,2024-09-28T02:13:22.161392,True
sched_e073b28c,task_0026,1b357154-3d14-410f-ab79-ffa0e3233807,2025-04-09T04:50:27,2025-04-09T07:37:36.065805,True
sched_c775470c,task_0027,ea75e6e1-7f78-45fa-a1bc-1843011d956f,2025-01-10T06:19:51,2025-01-10T07:36:13.005178,False
sched_fcf7de8b,task_0028,875ec64b-b465-4e86-9bff-7b4dbd7661d6,2024-11-29T12:11:23,2024-11-29T13:17:52.491194,False
sched_e470016e,task_0029,5cb4fcf7-3450-4ce2-9112-902ef278eddd,2024-12-06T15:01:49,2024-12-06T16:21:00.354103,True
sched_a1a60584,task_0030,f4bfa4b5-b918-49d4-be6d-f28357628f91,2024-06-05T00:47:40,2024-06-05T03:00:16.660902,True
sched_81b3d10f,task_0031,271bf8c6-3e9c-46a8-84ae-efad691f496c,2025-02-26T01:04:42,2025-02-26T04:06:11.536909,True
